#,code,name,continent
1,AFG,Afghanistan,Asia
3,ALB,Albania,Europe
4,DZA,Algeria,Africa
7,AGO,Angola,Africa
11,ARG,Argentina,S.America
12,ARM,Armenia,Europe
14,AUS,Australia,Austrilia
15,AUT,Austria,Europe
16,AZE,Azerbaijan,Europe
17,BHS,Bahamas,N.America
19,BGD,Bangladesh,Asia
21,BLR,Belarus,Europe
22,BEL,Belgium,Europe
23,BLZ,Belize,N.America
24,BEN,Benin,Africa
26,BTN,Bhutan,Asia
27,BOL,Bolivia,S.America
28,BIH,Bosnia and Herzegovina,Europe
29,BWA,Botswana,Africa
31,BRA,Brazil,S.America
34,BRN,Brunei Darussalam,Asia
35,BGR,Bulgaria,Europe
36,BFA,Burkina Faso,Africa
37,BDI,Burundi,Africa
55,CIV,Côte d'Ivoire,Africa
38,KHM,Cambodia,Asia
39,CMR,Cameroon,Africa
40,CAN,Canada,N.America
43,CAF,Central African Republic,Africa
44,TCD,Chad,Africa
45,CHL,Chile,S.America
46,CHN,China,Asia
49,COL,Colombia,S.America
54,CRI,Costa Rica,N.America
56,HRV,Croatia,Europe
57,CUB,Cuba,N.America
59,CZE,Czech Republic,Europe
60,DNK,Denmark,Europe
61,DJI,Djibouti,Africa
63,DOM,Dominican Republic,N.America
64,ECU,Ecuador,S.America
65,EGY,Egypt,Africa
66,SLV,El Salvador,N.America
67,GNQ,Equatorial Guinea,Africa
68,ERI,Eritrea,Africa
69,EST,Estonia,Europe
70,ETH,Ethiopia,Africa
74,FIN,Finland,Europe
75,FRA,France,Europe
76,GUF,French Guiana,S.America
79,GAB,Gabon,Africa
80,GMB,Gambia,Africa
81,GEO,Georgia,Europe
82,DEU,Germany,Europe
83,GHA,Ghana,Africa
85,GRC,Greece,Europe
90,GTM,Guatemala,N.America
92,GIN,Guinea,Africa
93,GNB,Guinea-Bissau,Africa
94,GUY,Guyana,S.America
95,HTI,Haiti,N.America
97,HND,Honduras,N.America
99,HUN,Hungary,Europe
100,ISL,Iceland,Europe
101,IND,India,Asia
102,IDN,Indonesia,Asia
103,IRN,Iran,Asia
104,IRQ,Iraq,Asia
105,IRL,Ireland,Europe
107,ISR,Israel,Asia
108,ITA,Italy,Europe
109,JAM,Jamaica,N.America
111,JPN,Japan,Asia
112,JOR,Jordan,Asia
113,KAZ,Kazakhstan,Asia
114,KEN,Kenya,Africa
117,KWT,Kuwait,Asia
118,KGZ,Kyrgyzstan,Asia
119,LAO,Laos,Asia
120,LVA,Latvia,Europe
121,LBN,Lebanon,Asia
122,LSO,Lesotho,Africa
123,LBR,Liberia,Africa
124,LBY,Libya,Africa
126,LTU,Lithuania,Europe
129,MKD,Macedonia,Europe
130,MDG,Madagascar,Africa
131,MWI,Malawi,Africa
132,MYS,Malaysia,Asia
134,MLI,Mali,Africa
138,MRT,Mauritania,Africa
141,MEX,Mexico,N.America
143,MDA,Moldova,Europe
145,MNG,Mongolia,Asia
146,MNE,Montenegro,Europe
148,MAR,Morocco,Africa
149,MOZ,Mozambique,Africa
150,MMR,Myanmar,Asia
151,NAM,Namibia,Africa
153,NPL,Nepal,Asia
154,NLD,Netherlands,Europe
158,NIC,Nicaragua,N.America
159,NER,Niger,Africa
160,NGA,Nigeria,Africa
163,PRK,North Korea,Asia
165,NOR,Norway,Europe
166,OMN,Oman,Asia
167,PAK,Pakistan,Asia
169,PSE,Palestina,Asia
170,PAN,Panama,N.America
171,PNG,Papua New Guinea,Asia
172,PRY,Paraguay,S.America
173,PER,Peru,S.America
174,PHL,Philippines,Asia
176,POL,Poland,Europe
177,PRT,Portugal,Europe
179,QAT,Qatar,Asia
51,COG,Republic of Congo,Africa
181,ROU,Romania,Europe
182,RUS,Russian Federation,Europe
183,RWA,Rwanda,Africa
192,SAU,Saudi Arabia,Asia
193,SEN,Senegal,Africa
194,SRB,Serbia,Europe
196,SLE,Sierra Leone,Africa
198,SVK,Slovakia,Europe
199,SVN,Slovenia,Europe
201,SOM,Somalia,Africa
202,ZAF,South Africa,Africa
204,KOR,South Korea,Asia
205,ESP,Spain,Europe
206,LKA,Sri Lanka,Asia
207,SDN,Sudan,Africa
208,SUR,Suriname,S.America
210,SWZ,Swaziland,Africa
211,SWE,Sweden,Europe
212,CHE,Switzerland,Europe
213,SYR,Syria,Asia
214,TWN,Taiwan,Asia
215,TJK,Tajikistan,Asia
216,TZA,Tanzania,Africa
217,THA,Thailand,Asia
52,COD,The Democratic Republic of the Congo,Africa
218,TLS,Timor-Leste,Asia
219,TGO,Togo,Africa
223,TUN,Tunisia,Africa
224,TUR,Turkey,Asia
225,TKM,Turkmenistan,Asia
228,UGA,Uganda,Africa
229,UKR,Ukraine,Europe
230,ARE,United Arab Emirates,Asia
231,GBR,United Kingdom,Europe
232,USA,United States,N.America
234,URY,Uruguay,S.America
235,UZB,Uzbekistan,Asia
238,VEN,Venezuela,S.America
239,VNM,Vietnam,Asia
242,ESH,Western Sahara,Africa
243,YEM,Yemen,Asia
244,ZMB,Zambia,Africa
245,ZWE,Zimbabwe,Africa
