# Province names for selected countries
CountryCode,provinceID, minLat,minLon,maxLat,maxLon,province_name
AFG,  1,  35.4464,  69.9615,  38.4909,  74.8941, Badakhshan
AFG,  2,  34.5170,  62.6279,  35.9999,  65.0868, Badghis
AFG,  3,  34.8797,  67.2832,  36.5753,  69.9782, Baghlan
AFG,  4,  35.5907,  66.4086,  37.3911,  68.2048, Balkh
AFG,  5,  33.9674,  66.3887,  35.4532,  68.2546, Bamyan
AFG,  6,  31.3849,  60.5841,  33.5484,  64.7154, Farah
AFG,  7,  35.1962,  63.8829,  37.2514,  65.8410, Faryab
AFG,  8,  32.0686,  66.7419,  34.2396,  68.7936, Ghazni
AFG,  9,  33.1774,  63.0535,  35.2766,  66.7865, Ghor
AFG, 10,  29.3616,  62.6385,  33.3789,  65.3580, Hilmand
AFG, 11,  32.7581,  60.5049,  35.6238,  64.4748, Hirat
AFG, 12,  35.9158,  65.0945,  37.5517,  66.5696, Jawzjan
AFG, 13,  34.2032,  68.8297,  34.9085,  69.9417, Kabul
AFG, 14,  29.5346,  64.4466,  32.4835,  67.7898, Kandahar
AFG, 15,  34.6337,  69.2721,  35.1855,  69.9142, Kapisa
AFG, 16,  33.0130,  69.3515,  33.7419,  70.3420, Khost
AFG, 17,  34.5369,  70.5955,  35.4975,  71.6903, Kunar
AFG, 18,  36.3027,  68.0337,  37.3355,  69.3561, Kunduz
AFG, 19,  34.3960,  69.7873,  35.2203,  70.6297, Laghman
AFG, 20,  33.5996,  68.6813,  34.3664,  69.5007, Logar
AFG, 21,  33.9277,  69.4799,  34.8041,  71.1713, Nangarhar
AFG, 22,  29.3764,  60.8658,  32.2403,  63.5217, Nimroz
AFG, 23,  34.8922,  69.9190,  36.0388,  71.6457, Nuristan
AFG, 24,  31.5974,  67.8599,  33.4021,  69.5346, Paktika
AFG, 25,  33.1429,  68.7551,  34.2538,  70.0273, Paktya
AFG, 26,  34.5902,  68.1701,  35.9026,  70.2776, Parwan
AFG, 27,  35.3743,  66.8993,  36.5954,  68.5227, Samangan
AFG, 28,  34.8872,  65.3727,  36.5734,  67.1538, Sari Pul
AFG, 29,  35.7826,  69.1693,  37.6157,  70.4926, Takhar
AFG, 30,  32.2464,  65.1849,  34.4322,  67.4228, Uruzgan
AFG, 31,  33.6741,  67.2962,  34.8057,  68.9536, Wardak
AFG, 32,  31.5001,  66.1766,  33.1252,  68.1217, Zabul
ALB,  1,  40.3482,  19.7307,  40.8810,  20.4408, Berat
ALB,  2,  41.2660,  19.8067,  41.9024,  20.5741, Dibлr
ALB,  3,  41.2454,  19.3907,  41.5906,  19.9128, Durrлs
ALB,  4,  40.7118,  19.6723,  41.3736,  20.6068, Elbasan
ALB,  5,  40.4192,  19.3065,  41.0719,  19.9085, Fier
ALB,  6,  39.7797,  19.7555,  40.5290,  20.6071, Gjirokastлr
ALB,  7,  40.0747,  20.2923,  41.0903,  21.0497, Korзл
ALB,  8,  41.8151,  19.7926,  42.5598,  20.6284, Kukлs
ALB,  9,  41.5515,  19.4489,  42.0256,  20.2759, Lezhл
ALB, 10,  41.8379,  19.2844,  42.6607,  20.2450, Shkodлr
ALB, 11,  41.0063,  19.4365,  41.5111,  20.2361, Tiranл
ALB, 12,  39.6496,  19.2632,  40.6653,  20.3155, Vlorл
DZA,  1,  20.0638,  -5.6526,  31.6591,   2.4996, Adrar
DZA,  2,  35.8603,   1.5285,  36.4572,   2.6284, Aпn Defla
DZA,  3,  35.0897,  -1.5896,  35.7332,  -0.5812, Aпn Tйmouchent
DZA,  4,  36.5805,   2.8017,  36.8204,   3.3855, Alger
DZA,  5,  36.6026,   7.2835,  37.0854,   7.8324, Annaba
DZA,  6,  34.7533,   4.7415,  35.9224,   6.7951, Batna
DZA,  7,  27.2999,  -5.5003,  32.4179,   0.3848, Bйchar
DZA,  8,  36.2175,   4.3513,  36.8954,   5.4838, Bйjaпa
DZA,  9,  33.3549,   4.1368,  35.2859,   6.7733, Biskra
DZA, 10,  36.3315,   2.4791,  36.6719,   3.3099, Blida
DZA, 11,  35.7618,   4.0674,  36.4301,   5.1993, Bordj Bou Arrйridj
DZA, 12,  35.8500,   3.2942,  36.6127,   4.3960, Bouira
DZA, 13,  36.5480,   3.2264,  36.9235,   4.0397, Boumerdиs
DZA, 14,  35.8509,   0.6919,  36.5551,   1.7216, Chlef
DZA, 15,  36.0923,   6.3104,  36.6240,   7.0501, Constantine
DZA, 16,  32.8524,   2.0136,  35.8321,   5.0796, Djelfa
DZA, 17,  30.7012,  -0.4149,  34.4478,   2.3612, El Bayadh
DZA, 18,  32.0008,   5.1835,  34.5107,   9.0660, El Oued
DZA, 19,  36.3908,   7.6668,  36.9521,   8.6846, El Tarf
DZA, 20,  28.8972,   1.9039,  33.0706,   5.0260, Ghardaпa
DZA, 21,  36.0251,   6.9403,  36.6733,   7.9600, Guelma
DZA, 22,  22.5180,   5.6392,  30.5585,  11.9889, Illizi
DZA, 23,  36.5185,   5.4252,  36.9421,   6.5113, Jijel
DZA, 24,  34.1545,   6.4981,  35.6733,   7.5499, Khenchela
DZA, 25,  32.8031,   1.3362,  34.6948,   4.4806, Laghouat
DZA, 26,  35.0109,  -0.5208,  35.7845,   0.9031, Mascara
DZA, 27,  35.4453,   2.1399,  36.5043,   3.6300, Mйdйa
DZA, 28,  35.8759,   5.7382,  36.6239,   6.5464, Mila
DZA, 29,  35.6714,  -0.1146,  36.3332,   0.7420, Mostaganem
DZA, 30,  34.2164,   3.3704,  36.0423,   5.3387, M'Sila
DZA, 31,  32.1451,  -1.7371,  34.3256,   0.1706, Naвma
DZA, 32,  35.3332,  -1.0596,  35.9101,  -0.1130, Oran
DZA, 33,  28.4977,   2.9974,  33.9458,   9.4745, Ouargla
DZA, 34,  35.4221,   6.1549,  36.1984,   7.8690, Oum el Bouaghi
DZA, 35,  35.4444,   0.2282,  36.2278,   1.4290, Relizane
DZA, 36,  34.3194,  -0.3474,  35.1680,   0.9344, Saпda
DZA, 37,  35.6163,   4.7308,  36.5960,   6.0271, Sйtif
DZA, 38,  33.9081,  -1.1242,  35.4564,   0.0418, Sidi Bel Abbиs
DZA, 39,  36.4190,   6.2393,  37.0951,   7.4061, Skikda
DZA, 40,  35.8055,   7.2824,  36.4699,   8.4102, Souk Ahras
DZA, 41,  18.9600,   0.9339,  29.7577,  10.2711, Tamanghasset
DZA, 42,  34.2426,   7.2283,  36.0035,   8.4800, Tйbessa
DZA, 43,  34.0730,   0.4878,  35.7111,   2.6718, Tiaret
DZA, 44,  25.5179,  -8.6739,  29.6142,  -2.9792, Tindouf
DZA, 45,  36.3563,   1.6440,  36.7004,   2.8347, Tipaza
DZA, 46,  35.5360,   1.2581,  36.0352,   2.3154, Tissemsilt
DZA, 47,  36.4523,   3.7163,  36.9104,   4.6538, Tizi Ouzou
DZA, 48,  34.0939,  -2.2153,  35.2375,  -0.7624, Tlemcen
AGO,  1, -10.4404,  13.0879,  -7.6198,  14.7288, Bengo
AGO,  2, -13.8753,  12.5210, -11.7631,  15.1165, Benguela
AGO,  3, -14.3145,  15.7543, -10.5699,  19.2473, Biй
